officerid,count,name,dept
BrianERobbinsDunellen,18,Brian E Robbins,"Dunellen, Middlesex County"
FelipeLaboyVineland,18,Felipe Laboy,"Vineland, Cumberland County"
FrankGauthierRoselle,17,Frank Gauthier,"Roselle, Union County"
GaryPBrennerGalloway,17,Gary P Brenner,"Galloway, Atlantic County"
NicholasRLaLenaMountHolly,17,Nicholas R Lalena,"Mount Holly, Burlington County"
RafaelReyesBelleville,17,Rafael A Reyes,"Belleville, Essex County"
SSMacolinoPaterson,17,S S Macolino,"Paterson, Passaic County"
JeffreyMScullBridgetonCity,17,Jeffrey M Scull,"Bridgeton City, Cumberland County"
JosephMHeunemanMorristown,17,Joseph Heuneman,"Morristown, Morris County"
AnthonyJRodriguezPomptonLakes,17,Anthony J Rodriguez,"Pompton Lakes, Passaic County"
AntonioMartinezAsburyPark,17,Antonio Martinez,"Asbury Park, Monmouth County"
AlbertoRosarioVineland,17,Alberto Rosario,"Vineland, Cumberland County"
CharlesByrdWildwood,17,Charles Byrd,"Wildwood, Cape May County"
KennethMBowesJerseyCity,17,Kenneth M Bowes,"Jersey City, Hudson County"
ILLEGIBLEILLEGIBLEPaterson,17,ILLEGIBLE ILLEGIBLE,"Paterson, Passaic County"
JohnJKellyCamden,17,John Kelly,"Camden, Camden County"
DavidSGillilandHowell,17,David Gilliland,"Howell, Monmouth County"
JasonPSwanMountHolly,17,Jason P Swan,"Mount Holly, Burlington County"
DeenaJBertoliniBridgetonCity,17,Deena J Bertolini,"Bridgeton City, Cumberland County"
KeithDRutherfordHamilton,17,Keith Rutherford,"Hamilton, Mercer County"
PaulinoBApistarEvesham,17,Paulino B Apistar,"Evesham, Burlington County"
JoshuaSPedalinoTomsRiver,17,Joshua S Pedalino,"Toms River, Ocean County"
GeorgeGuzmanHaledon,17,George Guzman,"Haledon, Passaic County"
PascalMGambardellaTomsRiver,17,Pascal M Gambardella,"Toms River, Ocean County"
EdmundWRedmondJerseyCity,17,Edmund W Redmond,"Jersey City, Hudson County"
WilliamHNiebanckPaterson,17,William H Niebanck,"Paterson, Passaic County"
AdamTuvelCamden,17,Adam Tuvel,"Camden, Camden County"
ViktorDiazCamden,17,Viktor Diaz,"Camden, Camden County"
JosiahOSulouffSomerville,17,Josiah O Sulouff,"Somerville, Somerset County"
BrandonJBurkhardtLakewood,17,Brandon J Burkhardt,"Lakewood, Ocean County"
RobertBellLongBranch,17,Robert E Bell,"Long Branch, Monmouth County"
MarkSantiagoNorthWildwood,17,Mark D Santiago,"North Wildwood, Cape May County"
MatthewRKilroyJerseyCity,17,Matthew Kilroy,"Jersey City, Hudson County"
JamesLarkinLawrence,17,James Larkin,"Lawrence, Mercer County"
PeterJMancoManchester,17,Peter J Manco,"Manchester, Ocean County"
JohnWFlinnGloucester,17,John W Flinn,"Gloucester, Camden County"
DavidDimartinoHoboken,17,David Dimartino,"Hoboken, Hudson County"
AhmedLawsonAsburyPark,17,Ahmed Lawson,"Asbury Park, Monmouth County"
AnthonyRCampbellVoorhees,17,Anthony R Campbell,"Voorhees, Camden County"
CraigFPalmaGloucester,17,Craig F Palma,"Gloucester, Camden County"
BrentAMundyTomsRiver,17,Brent A Mundy,"Toms River, Ocean County"
JasonJudiceVineland,17,Jason Judice,"Vineland, Cumberland County"
CraigBarnettOrange,17,Craig Barnett,"Orange, Essex County"
AnthonyMordagaParamus,17,Anthony Mordaga,"Paramus, Bergen County"
RickJWattGlassboro,17,Rick J Watt,"Glassboro, Gloucester County"
AngeloQuinnBelleville,17,Angelo Quinn,"Belleville, Essex County"
TroyEOswaldPaterson,17,Troy E Oswald,"Paterson, Passaic County"
BretBeneventoCliffsidePark,17,Bret Benevento,"Cliffside Park, Bergen County"
JohnFSteverLawrence,17,John Stever,"Lawrence, Mercer County"
MigdaliaSanchezCamden,17,Migdalia Sanchez,"Camden, Camden County"
RaymondSofieldMiddletown,17,Raymond Sofield,"Middletown, Monmouth County"
ThomasWDoremusRedBank,17,Thomas Doremus,"Red Bank, Monmouth County"
KevinATarasevichWashington,17,Kevin A Tarasevich,"Washington, Gloucester County"
JonathanWalshCamden,17,Jonathan Walsh,"Camden, Camden County"
ManuelSoutoNewark,17,Manuel Souto,"Newark, Essex County"
WalterMichalskiDover,17,Walter H Michalski,"Dover, Morris County"
SeanGreenbergerJackson,17,Sean Greenberger,"Jackson, Ocean County"
MatthewFordSecaucus,17,Matthew Ford,"Secaucus, Hudson County"
LouisHTarantoTomsRiver,17,Louis H Taranto,"Toms River, Ocean County"
JoeFLeonAsburyPark,17,Joe F Leon,"Asbury Park, Monmouth County"
WalterHiresAtlanticCity,17,Walter F Hires,"Atlantic City, Atlantic County"
MathewVazquezPerthAmboy,17,Matthew Vazquez,"Perth Amboy, Middlesex County"
RyanJDunnLawrence,17,Ryan J Dunn,"Lawrence, Mercer County"
RobertKeilyElizabeth,17,Robert Keily,"Elizabeth, Union County"
PatrickJHarrisWoodbridge,17,Patrick J Harris,"Woodbridge, Middlesex County"
JohnABocchinoEastOrange,17,John A Bocchino,"East Orange, Essex County"
VincentRBonnerHowell,17,V Bonner,"Howell, Monmouth County"
TimothyPasqualeSomerville,17,Timothy Pasquale,"Somerville, Somerset County"
JosephLabonneMillville,17,Joseph Labonne,"Millville, Cumberland County"
ThomasJRitzGloucester,17,Thomas J Ritz,"Gloucester, Camden County"
StewartOwensTrenton,17,Stewart J Owens,"Trenton, Mercer County"
MatthewDDivitoEvesham,17,Matthew D Divito,"Evesham, Burlington County"
ChristopherLongoLawrence,17,Christopher Longo,"Lawrence, Mercer County"
JosephRMatthewsMapleShade,17,Joseph Matthews,"Maple Shade, Burlington County"
JoseLAliceaWestNewYork,17,Jose L Alicea,"West New York, Hudson County"
JoseGonzalesAtlanticCity,17,Jose Gonzales,"Atlantic City, Atlantic County"
NicholasMarescaHopatcong,17,Nicholas J Maresca,"Hopatcong, Sussex County"
RafaelMartinezCamden,17,Rafael Martinez,"Camden, Camden County"
MichaelJPerezVoorhees,17,Michael J Perez,"Voorhees, Camden County"
MatthewTCasterlineHillside,17,Matthew Casterline,"Hillside, Union County"
MatthewCCrabtreeGloucester,17,Matthew C Crabtree,"Gloucester, Camden County"
ArgenisBernardCamden,16,Argenis Bernard,"Camden, Camden County"
MichaelEscottBelleville,16,Michael Escott,"Belleville, Essex County"
JoshuaCSchwengerAtlanticCity,16,Joshua C Schwenger,"Atlantic City, Atlantic County"
LouisRiveraVineland,16,Louis Rivera,"Vineland, Cumberland County"
PatrickCadetIrvington,16,Patrick Cadet,"Irvington, Essex County"
WilsonLazuPaterson,16,Wilson Lazu,"Paterson, Passaic County"
StephenECavallaroGlassboro,16,Stephen E Cavallaro,"Glassboro, Gloucester County"
NicholasLozziFreeholdBoro,16,Nicholas Lozzi,"Freehold Boro, Monmouth County"
StephenSzbanzTrenton,16,Stephen E Szbanz,"Trenton, Mercer County"
MichaelPierDover,16,Michael Pier,"Dover, Morris County"
BorisIvanovskiGarfield,16,Boris Ivanovski,"Garfield, Bergen County"
HenryGliottoneNewBrunswick,16,Henry E Gliottone,"New Brunswick, Middlesex County"
JorgeJoaquimElizabeth,16,J Joaquim,"Elizabeth, Union County"
LaminBaryohNewark,16,Lamin B Baryoh,"Newark, Essex County"
OmarCouloteOrange,16,Omar A Coulote,"Orange, Essex County"
DavidAFuncastaWestNewYork,16,David A Funcasta,"West New York, Hudson County"
JosephRJohnsonPennsGrove,16,Joseph R Johnson,"Penns Grove, Salem County"
PetersonAuculeAtlanticCity,16,Peterson Aucule,"Atlantic City, Atlantic County"
RafaelAPuntielPerthAmboy,16,Rafael A Puntiel,"Perth Amboy, Middlesex County"
BillyLyElizabeth,16,Billy Ly,"Elizabeth, Union County"
SumonMajumderAtlanticCity,16,Sumon Majumder,"Atlantic City, Atlantic County"
JorgeLArochoPerthAmboy,16,Jorge Arocho,"Perth Amboy, Middlesex County"
PatrickGuidoHamilton,16,Patrick Guido,"Hamilton, Mercer County"
TylerBenderEwing,16,Tyler Bender,"Ewing, Mercer County"
AnthonyCapelliVineland,16,Anthony Capelli,"Vineland, Cumberland County"
WilliamRBommerHowell,16,William R Bommer,"Howell, Monmouth County"
SeanHealeyFreeholdBoro,16,Sean Healey,"Freehold Boro, Monmouth County"
JosephMDaileyBridgewater,16,Joseph M Dailey,"Bridgewater, Somerset County"
JonathanKBustiosPaterson,16,Jonathan K Bustios,"Paterson, Passaic County"
KennethAzambujaEastWindsor,16,Kenneth Azambuja,"East Windsor, Mercer County"
WilliamTEliasonRiverside,16,William T Eliason,"Riverside, Burlington County"
JosueDuranNewark,16,Josue Duran,"Newark, Essex County"
AndrewJPerezHoboken,16,Andrew J Perez,"Hoboken, Hudson County"
RyanRichardsHowell,16,R J Richards,"Howell, Monmouth County"
EduardoOcasioVineland,16,Eduardo Ocasio,"Vineland, Cumberland County"
RobertKellyStratford,16,Robert Kelly,"Stratford, Camden County"
EmerySimmonsPassaic,16,Emery Simmons,"Passaic, Passaic County"
MatthewEDicamilloGloucester,16,Matthew E DiCamillo,"Gloucester, Camden County"
BrandonKerseyCamden,16,Brandon Kersey,"Camden, Camden County"
DavidJChudySomerville,16,Dave Chudy,"Somerville, Somerset County"
RobertShamrockLongBranch,16,Robert C Shamrock,"Long Branch, Monmouth County"
JohnADevlinAtlanticCity,16,John A Devlin,"Atlantic City, Atlantic County"
StephenBezichCamden,16,Sephen Bezich,"Camden, Camden County"
TheodoreKucowskiJackson,16,Theodore Kucowski,"Jackson, Ocean County"
CuongDSamAtlanticCity,16,Cuong D Sam,"Atlantic City, Atlantic County"
RyanDaughtonNewBrunswick,16,Ryan J Daughton,"New Brunswick, Middlesex County"
JohnathanGomezMillville,16,Johnathan Gomez,"Millville, Cumberland County"
JosephCStylesBayonne,16,Joseph Styles,"Bayonne, Hudson County"
RobertRBatailleLongBranch,16,Robert Bataille,"Long Branch, Monmouth County"
DennisPMcGrailWashington,16,Dennis P McGrail,"Washington, Gloucester County"
ThomasMoynihanAtlanticCity,16,Thomas J Moynihan,"Atlantic City, Atlantic County"
TimothyRamirezCamden,16,Timothy Ramirez,"Camden, Camden County"
MichaelTreadwayCamden,16,Michael Treadway,"Camden, Camden County"
BlaiseO'DonnellGloucesterCity,16,Blaise C O'Donnell,"Gloucester City, Camden County"
GeorgeJManganaroPennsGrove,16,George Manganaro,"Penns Grove, Salem County"
WilliamStadnickMillville,16,William Stadnick,"Millville, Cumberland County"
CraigWFinkLakewood,16,Craig Fink,"Lakewood, Ocean County"
RichDixonEvesham,16,Rich Dixon,"Evesham, Burlington County"
EdwardPinkeviczElizabeth,16,Edward Pinkevicz,"Elizabeth, Union County"
BrianGMcDevittAtlanticCity,16,Brian C McDevitt,"Atlantic City, Atlantic County"
JoseClassLindenwold,16,Jose Class,"Lindenwold, Camden County"
JohnBeasleyStratford,16,John Beasley,"Stratford, Camden County"
JesusMMedinaNorthPlainfield,16,Jesus M Medina,"North Plainfield, Somerset County"
TylerVRagauckasLakewood,16,Tyler Ragauckas,"Lakewood, Ocean County"
ManuelJLopezPerthAmboy,16,Manuel J Lopez,"Perth Amboy, Middlesex County"
JoseAMaldonadoWoodbridge,16,Jose A Maldonado,"Woodbridge, Middlesex County"
JoseAGonzalezTrenton,16,Jose A Gonzalez,"Trenton, Mercer County"
TymurZavalnyukLakewood,16,Tymur Zavalnyuk,"Lakewood, Ocean County"
PeterGrazianoNutley,15,Peter Graziano,"Nutley, Essex County"
MatthewCherneyHowell,15,Matthew Cherney,"Howell, Monmouth County"
AndresMejiaLawrence,15,Andres Mejia,"Lawrence, Mercer County"
JamesCapaccioOceanTownship,15,James Capaccio,"Ocean Township, Ocean County"
SeanRSmithTomsRiver,15,Sean R Smith,"Toms River, Ocean County"
FernandoBadilloCamden,15,Fernando Badillo,"Camden, Camden County"
RyanDubielCamden,15,Ryan Dubiel,"Camden, Camden County"
RobertSKennedyRedBank,15,Robert Kennedy,"Red Bank, Monmouth County"
MichaelWallaceVineland,15,Michael Wallace,"Vineland, Cumberland County"
MichaelJWhitmoreLawrence,15,Michael J Whitmore,"Lawrence, Mercer County"
PatrickMMcCafferyPennsville,15,Patrick M McCaffery,"Pennsville, Salem County"
BrianDAnthonySomerville,15,Brian Anthony,"Somerville, Somerset County"
AndrewKolimagaWildwood,15,Andrew Kolimaga,"Wildwood, Cape May County"
StevenTChellHamilton,15,Steven Chell,"Hamilton, Mercer County"
ElvisNunezPleasantville,15,Elvis Nunez,"Pleasantville, Atlantic County"
MichaelBZadlockRedBank,15,Michael B Zadlock,"Red Bank, Monmouth County"
PaulRCifuentesVineland,15,Paul R Cifuentes,"Vineland, Cumberland County"
JuanCVelezClifton,15,Juan C Velez,"Clifton, Passaic County"
AlexHaleyIrvington,15,Alex Haley,"Irvington, Essex County"
MichaelDennisVineland,15,Michael Dennis,"Vineland, Cumberland County"
RyanAValeriBrick,15,Ryan A Valeri,"Brick, Ocean County"
RobertMageeVineland,15,Robert Magee,"Vineland, Cumberland County"
MichaelSRiggsDeptford,15,Michael S Riggs,"Deptford, Gloucester County"
ThomasDelMauroNewark,15,Thomas DelMaure,"Newark, Essex County"
ThomasCuffMountOlive,15,Thomas Cuff,"Mount Olive, Morris County"
JJAdieyefehGlassboro,15,J Adieyefeh,"Glassboro, Gloucester County"
NicholasSAvanzatoHamilton,15,Nicholas S Avanzato,"Hamilton, Mercer County"
AlexanderJWrightMaplewood,15,Alexander Wright,"Maplewood, Essex County"
JamesMHurleyAtlanticCity,15,James Hurley,"Atlantic City, Atlantic County"
MichaelEAbateGlassboro,15,Michael E Abate,"Glassboro, Gloucester County"
NikolaFranolicCliffsidePark,15,Nikola Franolic,"Cliffside Park, Bergen County"
RuiXavierElizabeth,15,Rui Xavier,"Elizabeth, Union County"
EdwardAO'LanoGloucester,15,Edward O'Lano,"Gloucester, Camden County"
DanielAMurphyHowell,15,Daniel A Murphy,"Howell, Monmouth County"
MichaelSGuarinoManchester,15,Michael S Guarino,"Manchester, Ocean County"
ShawnMRuizTomsRiver,15,Shawn M Ruiz,"Toms River, Ocean County"
PatrickQuinnWildwood,15,Patrick Quinn,"Wildwood, Cape May County"
DanielCRitzGloucester,15,Daniel C Ritz,"Gloucester, Camden County"
ChristopherMRobellHamilton,15,Chris M Robell,"Hamilton, Atlantic County"
KevinLevickMillville,15,Kevin Levick,"Millville, Cumberland County"
ShawnRMountBordentownTown,15,Shawn R Mount,"Bordentown Town, Burlington County"
MichaelESanchezJerseyCity,15,Michael E Sanchez,"Jersey City, Hudson County"
WilliamGrassoCamden,15,William Grasso,"Camden, Camden County"
FrankJBoppTomsRiver,15,Frank J Bopp,"Toms River, Ocean County"
MiguelCruzPaterson,15,Miguel A Cruz,"Paterson, Passaic County"
JamesRickeyHamilton,15,James Rickey,"Hamilton, Mercer County"
BLANKPereiraElizabeth,15,BLANK Pereira,"Elizabeth, Union County"
MichaelSMacDonaldTomsRiver,15,Michael MacDonald,"Toms River, Ocean County"
AnthonyJManzoTrenton,15,Anthony J Manzo,"Trenton, Mercer County"
VitoABetBoundBrook,15,Vito A Bet,"Bound Brook, Somerset County"
DanielRiveraElizabeth,15,Daniel Rivera,"Elizabeth, Union County"
JoseAnayaHamilton,15,Jose Anaya,"Hamilton, Mercer County"
MichaelMcLaughlinMillville,15,Michael McLaughlin,"Millville, Cumberland County"
GarySiculietanoPointPleasantBeach,15,Gary Siculietano,"Point Pleasant Beach, Ocean County"
PatrickAMullerHamilton,15,Pat Muller,"Hamilton, Atlantic County"
AnthonyPayneWildwood,15,Anthony Payne,"Wildwood, Cape May County"
MichaelFKohutEdison,15,Michael F Kohut,"Edison, Middlesex County"
DarrylJBrownEastOrange,15,Darryl J Brown,"East Orange, Essex County"
KeithWallGloucesterCity,15,Keith Wall,"Gloucester City, Camden County"
KyleVSnyderGlassboro,15,Kyle V Snyder,"Glassboro, Gloucester County"
WilliamDMcCainGlassboro,15,William D McCain,"Glassboro, Gloucester County"
TimothyJDrewLawrence,15,Timothy Drew,"Lawrence, Mercer County"
HenryREspin-ZamoraWestNewYork,15,Henry R Espin-Zamora,"West New York, Hudson County"
DennisDowdenLakewood,15,Dennis Dowden,"Lakewood, Ocean County"
StevenPlumerEastOrange,15,Steven Plumer,"East Orange, Essex County"
StevenPassamanoLyndhurst,15,Steven Passamano,"Lyndhurst, Bergen County"
StevenMWendruffManchester,15,Steven M Wendruff,"Manchester, Ocean County"
BernardGesuelliNewark,15,Bernard Gesuelli,"Newark, Essex County"
DavidAristizabalPleasantville,15,David Aristizabal,"Pleasantville, Atlantic County"
BenjaminRamosIrvington,15,Benjamin Ramos,"Irvington, Essex County"
CharlesPLillyWashingtonTownship,15,Charles Lilly,"Washington Township, Warren County"
AntonioDominguezCarteret,15,Antonio Dominguez,"Carteret, Middlesex County"
PaulLPappasEdison,15,Paul L Pappas,"Edison, Middlesex County"
MichaelFMcCabeWoodburyHeights,15,Michael F McCabe,"Woodbury Heights, Gloucester County"
CharlesGoodNewark,15,Charles Good,"Newark, Essex County"
CharlesReimanCarteret,15,Charles F Reiman,"Carteret, Middlesex County"
AntonioGennettaCamden,15,Antonio Gennetta,"Camden, Camden County"
HectorRiveraWoodbridge,15,Hector Rivera,"Woodbridge, Middlesex County"
RobertToscanoAtlanticCity,15,Robert Dodson,"Atlantic City, Atlantic County"
MichaelFountasCamden,15,Michael Fountas,"Camden, Camden County"
BenjaminJSpringerRedBank,15,Benjamin Springer,"Red Bank, Monmouth County"
RyanVansycklePleasantville,15,Ryan Vansyckle,"Pleasantville, Atlantic County"
GinoQuelopanaElizabeth,15,Gino Quelopana,"Elizabeth, Union County"
CharlesAHeintzAtlanticCity,15,Charles A Heintz,"Atlantic City, Atlantic County"
HaleyMFilerGlassboro,15,Haley Filer,"Glassboro, Gloucester County"
DavidCRingerBridgetonCity,15,David C Ringer,"Bridgeton City, Cumberland County"
JayvonWBrittAsburyPark,15,Jayvon Britt,"Asbury Park, Monmouth County"
TimothyMillerCamden,15,Timothy Miller,"Camden, Camden County"
LanceKMeslerMaplewood,15,Lance K Mesler,"Maplewood, Essex County"
NicholasMillroyPerthAmboy,15,Nicholas Millroy,"Perth Amboy, Middlesex County"
JohnNortonMiddle,15,John Norton,"Middle, Cape May County"
JosephReimanCarteret,15,Joseph Reiman,"Carteret, Middlesex County"
WesleyLSanchesSouthRiver,15,Wesley L Sanches,"South River, Middlesex County"
OwenFloresVineland,15,Owen Flores,"Vineland, Cumberland County"
WilfredJirouxWestOrange,15,Wilfred Jiroux,"West Orange, Essex County"
GuidoQuelopanaElizabeth,15,Guido Quelopana,"Elizabeth, Union County"
LuisaRosatoWestNewYork,15,Luisa Rosato,"West New York, Hudson County"
AurelioVazquezPerthAmboy,15,Aurelio Vazquez,"Perth Amboy, Middlesex County"
SalvatoresSMacolinoClifton,15,S S Macolino,"Clifton, Passaic County"
MarkFabbricatoreBayonne,15,Mark Fabbricatore,"Bayonne, Hudson County"
JasonSiitonenEvesham,15,Jason P Siitonen,"Evesham, Burlington County"
GregoryMakrasEdison,15,Greg Makras,"Edison, Middlesex County"
MichaelJGiordanoCarney_sPoint,14,Michael J Giordano,"Carney_s Point, Salem County"
OxmaniCoronaDover,14,Oxmani Corona,"Dover, Morris County"
DillonJGourleyAsburyPark,14,Dillon J Gourley,"Asbury Park, Monmouth County"
StenleyVertusCamden,14,Stanley Vertus,"Camden, Camden County"
MarcoGBrunoWoodbridge,14,Marco G Bruno,"Woodbridge, Middlesex County"
MichaelPWittevrongelUniontownship,14,Michael P Wittevrongel,"Union township, Union County"
DerrickMageeVineland,14,Derrick Magee,"Vineland, Cumberland County"
RyanCichonPomptonLakes,14,Ryan Cichon,"Pompton Lakes, Passaic County"
JohnFieldPineHill,14,John J Field,"Pine Hill, Camden County"
WilliamIsettsCamden,14,William Isetts,"Camden, Camden County"
MohammadSheikhHackensack,14,Mohammad Sheikh,"Hackensack, Bergen County"
MatthewMurphyNutley,14,Matthew Murphy,"Nutley, Essex County"
SethBKriegelTeaneck,14,Seth B Kriegel,"Teaneck, Bergen County"
HenryMWhiteAtlanticCity,14,Henry M White,"Atlantic City, Atlantic County"
DavidNeidermanTrenton,14,David Neiderman,"Trenton, Mercer County"
JonathanPedersonLakewood,14,Jonathan Pederson,"Lakewood, Ocean County"
MichaelRShomoCamden,14,Micheal R Shomo,"Camden, Camden County"
SeanPButlerJerseyCity,14,Sean P Butler,"Jersey City, Hudson County"
MarquisLTerryElizabeth,14,Marquis L Terry,"Elizabeth, Union County"
PatrickRVaccaroLongBranch,14,Patrick R Vaccaro,"Long Branch, Monmouth County"
ChristianJRamirezLinden,14,Christian J Ramirez,"Linden, Union County"
JamesSmithHackensack,14,James Smith,"Hackensack, Bergen County"
DanielPentPaterson,14,Daniel Pent,"Paterson, Passaic County"
RobertNHelvestonLindenwold,14,Robert Helveston,"Lindenwold, Camden County"
DavidLRadsniakPointPleasant,14,David L Radsniak,"Point Pleasant, Ocean County"
PerryDoylePemberton,14,Perry Doyle,"Pemberton, Burlington County"
JosephTavellaEvesham,14,Joseph Tavella,"Evesham, Burlington County"
JustinCSimsVoorhees,14,Justin C Sims,"Voorhees, Camden County"
MartinJLuizziPaterson,14,Martin J Luizzi,"Paterson, Passaic County"
MatthewCWisnowskiLinden,14,Matthew C Wisnowski,"Linden, Union County"
JasonGianottoBoundBrook,14,Jason Gianotto,"Bound Brook, Somerset County"
SheaO'DonnelGloucesterCity,14,O'Donnell Shea,"Gloucester City, Camden County"
